"","iso3c","averted_inf_monqalys_low","averted_inf_monqalys_med","averted_inf_monqalys_high"
"114","MUS",13489020.3466621,16065737.9540442,19090679.4451299
"115","MWI",668420.730935538,814230.940667958,953975.172719127
"116","MYS",660956605.847056,700116514.085964,737026971.270488
"117","NAM",1434600.02019359,1708741.3910191,2092917.63031927
"118","NER",859958.763057331,990160.257161883,1127109.90468981
"119","NGA",38129659.5861452,41477003.0903294,46029411.5353461
"120","NIC",1643616.40636615,2067059.94987383,2608086.39615169
"121","NLD",2029284224.50869,2152841714.27482,2344537113.2358
"122","NOR",1177043263.23331,1284235599.81792,1393996761.83923
"123","NPL",12553408.576625,14198132.6002991,16661524.8315716
"124","NZL",844068807.591745,952524647.500935,1017101606.18626
"125","OMN",51610010.8851265,118341746.23992,283953370.828108
"126","PAK",90353918.1952177,113505866.789024,140331004.187595
"127","PAN",94204423.4542697,113817994.929636,135721277.280104
"128","PER",127532167.122012,190249238.429482,248046340.910708
"129","PHL",143680780.678844,160740219.480906,179240368.634551
"130","PNG",817673.422976674,988726.865777929,1236479.70811016
"131","POL",828427864.672141,912116922.431658,986460776.269484
"132","PRK",0,0,0
"133","PRT",772099253.567623,832189629.153353,906862541.413029
"134","PRY",5022964.03805722,6012846.06635761,6901647.63920417
"135","QAT",455054251.408023,627108675.088021,816658858.057141
"136","ROU",133378579.644788,155599646.876347,179354112.303055
"137","RUS",953793115.762801,1020259995.91701,1143914288.19252
"138","RWA",2753298.95811942,3288007.97675349,4093731.90277498
"139","SAU",1710119003.46323,2104255059.29874,2476115200.86887
"140","SDN",256060.516667682,350666.051958048,422190.503852595
"141","SEN",3844386.12674135,4410616.21697813,5504203.97298305
"142","SGP",1955370368.51118,2129116714.43087,2166096071.83618
"143","SLB",33073.0530870753,559536.649670744,1851768.88093555
"144","SLE",420045.790455438,529430.586409295,653900.434838708
"145","SLV",19961206.8584035,21883053.9425191,23648744.1061205
"146","SOM",322000.673380829,385165.956828628,483903.959239411
"147","SRB",60941434.6409872,76479254.9971798,87914524.2918626
"148","SSD",0,0,0
"149","STP",307122.97752229,364619.380362599,436833.061246648
"150","SUR",1786782.56676886,1938720.85421574,2082568.41712991
"151","SVK",107957392.643009,126131445.721646,137751418.218339
"152","SVN",81785209.1421693,94317960.2409793,107270164.777043
"153","SWE",923607482.042125,1019936346.90495,1125641957.42992
"154","SWZ",780090.43397133,900787.155848361,1062406.50317376
"155","SYC",3018863.65201007,3779192.83286492,4994338.43474558
"156","SYR",275105.081548128,333266.0059685,400377.909062269
"157","TCD",79866.3233582822,107701.023797135,146715.612374914
"158","TGO",986495.055038164,1105016.06528355,1253084.95812753
"159","THA",787261695.399668,920285557.564228,1028346033.93832
"160","TJK",3219120.20192826,4308964.66849554,5844193.43256771
"161","TKM",47398443.2023683,56745738.1783481,61759497.464188
"162","TLS",1646892.52022258,1847137.51590843,2038167.96941944
"163","TTO",28426507.229869,30894267.1849302,35060381.8406343
"164","TUN",18148871.7117405,21860818.9358881,27743973.7196686
"165","TUR",874372816.487679,971447066.90445,1051874586.25614
"166","TZA",1535979.25530366,2008918.18469031,2607865.90996903
"167","UGA",3215802.95729494,3660620.04323322,4289838.65355913
"168","UKR",45820724.6188633,53110675.9635636,62643137.0405461
"169","URY",157021691.257946,183078625.603967,201344804.136954
"170","USA",45658681351.7792,51471817697.913,58758234988.4185
"171","UZB",21421057.2975898,26379152.5276041,32367018.9374401
"172","VCT",286860.19107032,338628.638199031,417551.301392866
"173","VEN",0,0,0
"174","VNM",364061474.791481,406712415.69928,450462222.637935
"175","VUT",529.906496536494,7865.92499807778,804416.398966957
"176","YEM",507268.465425276,559959.49790706,623038.16105994
"177","ZAF",151174450.312134,210918069.677044,285931126.906637
"178","ZMB",977931.139076985,1270707.43790441,1513959.78907402
"179","ZWE",6278067.24672252,7665869.64660561,9227736.67518311
